,,,stan,er
-963.92,-150.49,0.11254,0.07506086,49.9316695
-963.89,75.616,-0.072998,-0.048467364,-50.61268786
-963.77,-220.28,0.16885,0.111886654,50.91165441
-963.41,112.11,-0.10299,-0.06840489,-50.55941169
-963.31,-189.78,0.14443,0.096013534,50.42670902
-963.28,166.35,-0.14732,-0.097649871,-50.86553527
-963.06,-61.818,0.040144,0.027048178,48.41664885
-962.92,269.77,-0.23072,-0.151669864,-52.11987024
-962.9,12.038,-0.020679,-0.013577522,-52.30319528
-962.89,-269.88,0.20849,0.137444245,51.69059992
-962.8,19.658,-0.026964,-0.017777691,-51.67324327
-962.62,250.37,-0.21528,-0.141828908,-51.78851978
-962.61,-226.75,0.17424,0.115444774,50.92930865
-962.56,-251.23,0.19378,0.128048445,51.33334914
-962.4,-88.562,0.062148,0.041717691,48.97276974
-962.37,-0.26574,-0.010536,-0.006799832,-54.94500767
-962.33,220.08,-0.19101,-0.126201547,-51.35313728
-962.1,231.77,-0.20046,-0.132326861,-51.48851712
-962.05,119.91,-0.10952,-0.072777251,-50.48658558
-961.96,173.63,-0.15343,-0.101728665,-50.82277937
-961.94,89.894,-0.084877,-0.056420685,-50.43596087
-961.93,-52.526,0.032554,0.021997683,47.98831161
-961.78,-196.5,0.1501,0.099791942,50.41294577
-961.72,-233.36,0.1797,0.119025999,50.97541842
-961.64,39.938,-0.043725,-0.028988429,-50.83604347
-961.63,209.47,-0.18256,-0.120763735,-51.17120995
-961.51,195.81,-0.17152,-0.113583682,-51.00760679
-961.43,-76.078,0.051963,0.034952728,48.66650693
-961.42,-116.53,0.08515,0.057026174,49.31740027
-961.33,202.56,-0.17703,-0.117180457,-51.07467977
-961.29,189.09,-0.16611,-0.110059296,-50.92773322
-961.26,-275.64,0.21341,0.140699829,51.67751173
-961.26,275.64,-0.23576,-0.155014249,-52.08924456
-961.23,68.694,-0.067465,-0.044841899,-50.45080996
-961.11,53.683,-0.05509,-0.036586698,-50.57385249
-961.06,257.17,-0.22106,-0.145645329,-51.77967048
-960.85,181.35,-0.15988,-0.106009196,-50.8171045
-960.79,-8.4058,-0.003811,-0.002305459,-65.30332226
-960.75,-38.505,0.021044,0.014317655,46.97937695
-960.75,-177.21,0.13466,0.089735711,50.06288884
-960.71,-258.18,0.19969,0.131967207,51.31789515
-960.54,-24.412,0.0094147,0.00654235,43.90395663
-960.48,82.465,-0.078869,-0.05245912,-50.3437346
-960.45,127.35,-0.11579,-0.076988352,-50.39937562
-960.44,-163.45,0.12354,0.082438734,49.85674044
-960.39,-203.25,0.15577,0.103564913,50.40808281
-960.06,225.77,-0.19602,-0.129593223,-51.25790944
-960,238.69,-0.20645,-0.136332001,-51.43179753
-959.93,97.839,-0.091581,-0.060936215,-50.28993919
-959.86,-240.38,0.18568,0.123003898,50.95456585
-959.7,281.04,-0.24043,-0.158108511,-52.0664505
-959.67,-281.13,0.21812,0.143814643,51.66744909
-959.44,135.15,-0.12231,-0.081343201,-50.3629043
-959.38,-130.61,0.096891,0.06487198,49.35724071
-959.23,264.03,-0.22695,-0.149554816,-51.75037857
-959.15,-109.64,0.079724,0.053484278,49.06062624
-959.15,142.73,-0.12857,-0.085490957,-50.39017512
-959.03,-210.01,0.16146,0.107341701,50.4168449
-958.6,-264.5,0.20518,0.135626582,51.28302762
-958.59,150.73,-0.1352,-0.089889043,-50.40765336
-958.5,159.45,-0.14235,-0.094611356,-50.4576253
-958.4,106.08,-0.098508,-0.065589485,-50.18870744
-958.4,-246.42,0.1908,0.126402655,50.94619689
-958.37,6.5182,-0.016155,-0.010576599,-52.74285627
-958.31,-45.471,0.026887,0.01824471,47.36874173
