,,,stan,er
-971.89,-169.6,0.13809,0.084170696,64.05947199
-971.82,188.23,-0.17807,-0.107942077,-64.96810652
-971.74,-236.04,0.19562,0.118546645,65.01521427
-971.71,236.17,-0.21968,-0.132741641,-65.49441279
-971.7,-104.73,0.081186,0.049752336,63.18027716
-971.68,150.23,-0.14482,-0.087947109,-64.66715317
-971.67,-211.42,0.17443,0.105954651,64.62703407
-971.66,-182.01,0.14894,0.090699288,64.2129764
-971.64,76.014,-0.079265,-0.048169155,-64.55551215
-971.52,157.02,-0.15081,-0.09156593,-64.70099668
-971.43,-138.26,0.11073,0.067678662,63.61139087
-971.26,215.65,-0.20203,-0.122285874,-65.21123227
-971.13,-50.252,0.032985,0.020393477,61.74289756
-971.03,-63.818,0.045032,0.02774749,62.29215808
-970.87,-158.71,0.12873,0.078573524,63.83381193
-970.87,-145.41,0.11708,0.071537039,63.66346861
-970.81,21.958,-0.03125,-0.01887085,-65.59932175
-970.56,164.32,-0.15736,-0.095557284,-64.67609137
-970.51,-152.11,0.12301,0.075130073,63.72937607
-970.47,41.558,-0.048707,-0.029544158,-64.86169881
-970.38,89.431,-0.091263,-0.055509423,-64.40992472
-970.38,110.04,-0.10953,-0.066617623,-64.41595278
-970.35,-217.87,0.18026,0.10949866,64.62301853
-970.3,-241.92,0.20096,0.121803294,64.98732747
-970.3,241.92,-0.22494,-0.135956366,-65.45014134
-970.11,-188.44,0.15479,0.09428559,64.17142857
-970.04,-76.283,0.056154,0.034546905,62.54423013
-969.86,-89.952,0.068284,0.041944334,62.79672096
-969.8,14.255,-0.024405,-0.014693378,-66.09522578
-969.3,-37.735,0.021928,0.013651866,60.62273275
-969.18,117.53,-0.11628,-0.070763177,-64.3227522
-969.17,-117.37,0.0926,0.056754643,63.15845759
-969,220.88,-0.207,-0.125391744,-65.08263849
-968.9,54.827,-0.060592,-0.036832156,-64.50842656
-968.88,-224.45,0.18622,0.113136288,64.59793991
-968.83,68.833,-0.073069,-0.044454499,-64.36806663
-968.8,247.83,-0.23036,-0.139266617,-65.40934539
-968.76,-2.7168,-0.0092786,-0.005440984,-70.53165526
-968.75,-248.04,0.20655,0.125205921,64.96823658
-968.74,-194.78,0.16054,0.097800254,64.15090291
-968.7,-9.9644,-0.0028117,-0.001483273,-89.56055703
-968.69,171,-0.1635,-0.099352015,-64.56636596
-968.34,-23.801,0.009537,0.006075577,56.97275352
-968.08,193.12,-0.18299,-0.111094059,-64.71627921
-968.02,124.93,-0.12296,-0.074860664,-64.25181478
-967.98,-56.533,0.038725,0.023934592,61.79511093
-967.94,5.8048,-0.016884,-0.010101429,-67.14467616
-967.81,82.929,-0.085687,-0.052180057,-64.21408007
-967.79,-164.36,0.13413,0.08195538,63.66222692
-967.79,231.78,-0.2167,-0.131242319,-65.11442414
-967.7,199.8,-0.1889,-0.114658473,-64.75014488
-967.68,-130.59,0.10444,0.063984906,63.22599581
-967.67,-176.07,0.1444,0.08815105,63.8097331
-967.56,-231.08,0.19222,0.116779525,64.60077257
-967.44,96.226,-0.097548,-0.059421828,-64.16189691
-967.39,-201.14,0.16631,0.101326107,64.13341513
-967.33,253.53,-0.2356,-0.142473102,-65.36454735
-967.3,178.08,-0.16995,-0.103300736,-64.51964161
-967.29,-253.67,0.21169,0.12834269,64.94122131
-967.19,206.57,-0.1949,-0.118282236,-64.77537607
-967.18,-110.76,0.086965,0.053381977,62.9107892
-967.12,226.1,-0.21191,-0.128437455,-64.99081257
-967.04,34.538,-0.042567,-0.025835798,-64.7597644
-966.84,132.06,-0.12941,-0.078822782,-64.17842339
-966.56,185.35,-0.17644,-0.107246698,-64.51788529
-966.45,-44.966,0.028483,0.017684869,61.05858909
-966.25,139.18,-0.13579,-0.082715652,-64.16481829
-966.13,-207.55,0.17212,0.104871419,64.12479408
-966.07,-69.621,0.050496,0.031157311,62.06789995
-965.93,-258.82,0.21642,0.131226106,64.92145201
-965.93,258.82,-0.24048,-0.145456975,-65.32723853
-965.89,-237.86,0.19841,0.120560831,64.5725222
-965.78,237.71,-0.22227,-0.134684802,-65.02975615
-965.7,214.15,-0.2018,-0.122495409,-64.74086793
-965.67,-82.41,0.061917,0.038142796,62.32947227
-965.59,146.4,-0.14227,-0.086670934,-64.14960961
-965.45,104,-0.10465,-0.063809288,-64.0043384
-965.44,47.215,-0.05396,-0.032834965,-64.33701301
-965.4,61.522,-0.066754,-0.040666806,-64.14861992
-965.36,160.04,-0.15436,-0.093995888,-64.21994958
-965.24,-103.36,0.080584,0.049546183,62.64421374
-965.18,-183.01,0.15088,0.092165336,63.70579872
-965,-213.91,0.17786,0.108368198,64.12564062
-964.92,-123.95,0.098886,0.060699886,62.90969738
-964.86,153.53,-0.14868,-0.090583554,-64.13575455
-964.79,27.417,-0.036261,-0.021999257,-64.82829363
